anno,Provincia,Comune (cod. Istat),Comune (denominazione),Provenienza,arrivi,presenze
2013,ar,051001,Anghiari,Italiani,3907,13146
2013,ar,051001,Anghiari,Stranieri,1121,5879
2013,ar,051001,Anghiari,Totale,5028,19025
2013,ar,051002,Arezzo,Italiani,87516,174007
2013,ar,051002,Arezzo,Stranieri,60106,139524
2013,ar,051002,Arezzo,Totale,147622,313531
2013,ar,051003,Badia Tedalda,Italiani,626,3021
2013,ar,051003,Badia Tedalda,Stranieri,60,292
2013,ar,051003,Badia Tedalda,Totale,686,3313
2013,ar,051004,Bibbiena,Italiani,4117,10760
2013,ar,051004,Bibbiena,Stranieri,1331,6547
2013,ar,051004,Bibbiena,Totale,5448,17307
2013,ar,051005,Bucine,Italiani,1374,5988
2013,ar,051005,Bucine,Stranieri,10511,80288
2013,ar,051005,Bucine,Totale,11885,86276
2013,ar,051006,Capolona,Italiani,998,1828
2013,ar,051006,Capolona,Stranieri,1553,7328
2013,ar,051006,Capolona,Totale,2551,9156
2013,ar,051007,Caprese Michelangelo,Italiani,861,2404
2013,ar,051007,Caprese Michelangelo,Stranieri,664,4122
2013,ar,051007,Caprese Michelangelo,Totale,1525,6526
2013,ar,051008,Castel Focognano,Italiani,16,77
2013,ar,051008,Castel Focognano,Stranieri,224,1729
2013,ar,051008,Castel Focognano,Totale,240,1806
2013,ar,051009,Castelfranco di Sopra,Italiani,806,2270
2013,ar,051009,Castelfranco di Sopra,Stranieri,761,6382
2013,ar,051009,Castelfranco di Sopra,Totale,1567,8652
2013,ar,051010,Castel San Niccolo',Italiani,15,33
2013,ar,051010,Castel San Niccolo',Stranieri,153,1288
2013,ar,051010,Castel San Niccolo',Totale,168,1321
2013,ar,051012,Castiglion Fiorentino,Italiani,5951,13320
2013,ar,051012,Castiglion Fiorentino,Stranieri,10179,37442
2013,ar,051012,Castiglion Fiorentino,Totale,16130,50762
2013,ar,051013,Cavriglia,Italiani,3210,12611
2013,ar,051013,Cavriglia,Stranieri,10675,75581
2013,ar,051013,Cavriglia,Totale,13885,88192
2013,ar,051014,Chitignano,Italiani,348,1279
2013,ar,051014,Chitignano,Stranieri,53,263
2013,ar,051014,Chitignano,Totale,401,1542
2013,ar,051015,Chiusi della Verna,Italiani,8264,20185
2013,ar,051015,Chiusi della Verna,Stranieri,2312,3367
2013,ar,051015,Chiusi della Verna,Totale,10576,23552
2013,ar,051016,Civitella in Val di Chiana,Italiani,7440,17054
2013,ar,051016,Civitella in Val di Chiana,Stranieri,2337,11044
2013,ar,051016,Civitella in Val di Chiana,Totale,9777,28098
2013,ar,051017,Cortona,Italiani,16704,39374
2013,ar,051017,Cortona,Stranieri,27528,128971
2013,ar,051017,Cortona,Totale,44232,168345
2013,ar,051018,Foiano della Chiana,Italiani,3171,14177
2013,ar,051018,Foiano della Chiana,Stranieri,2213,10632
2013,ar,051018,Foiano della Chiana,Totale,5384,24809
2013,ar,051019,Laterina,Italiani,6554,12090
2013,ar,051019,Laterina,Stranieri,4175,7342
2013,ar,051019,Laterina,Totale,10729,19432
2013,ar,051020,Loro Ciuffenna,Italiani,1274,3006
2013,ar,051020,Loro Ciuffenna,Stranieri,4254,20099
2013,ar,051020,Loro Ciuffenna,Totale,5528,23105
2013,ar,051021,Lucignano,Italiani,1302,2963
2013,ar,051021,Lucignano,Stranieri,1352,13510
2013,ar,051021,Lucignano,Totale,2654,16473
2013,ar,051022,Marciano della Chiana,Italiani,338,851
2013,ar,051022,Marciano della Chiana,Stranieri,495,4084
2013,ar,051022,Marciano della Chiana,Totale,833,4935
2013,ar,051023,Montemignaio,Italiani,183,1101
2013,ar,051023,Montemignaio,Stranieri,556,2586
2013,ar,051023,Montemignaio,Totale,739,3687
2013,ar,051024,Monterchi,Italiani,49,110
2013,ar,051024,Monterchi,Stranieri,117,1213
2013,ar,051024,Monterchi,Totale,166,1323
2013,ar,051025,Monte San Savino,Italiani,4211,7771
2013,ar,051025,Monte San Savino,Stranieri,2771,10319
2013,ar,051025,Monte San Savino,Totale,6982,18090
2013,ar,051026,Montevarchi,Italiani,7988,13528
2013,ar,051026,Montevarchi,Stranieri,5869,14842
2013,ar,051026,Montevarchi,Totale,13857,28370
2013,ar,051027,Ortignano Raggiolo,Italiani,28,118
2013,ar,051027,Ortignano Raggiolo,Stranieri,201,1767
2013,ar,051027,Ortignano Raggiolo,Totale,229,1885
2013,ar,051028,Pergine Valdarno,Italiani,491,2717
2013,ar,051028,Pergine Valdarno,Stranieri,1948,20365
2013,ar,051028,Pergine Valdarno,Totale,2439,23082
2013,ar,051029,Pian di Sco,Italiani,351,989
2013,ar,051029,Pian di Sco,Stranieri,822,4867
2013,ar,051029,Pian di Sco,Totale,1173,5856
