anno;Provincia;Comune (cod. Istat);Comune (denominazione);Provenienza;arrivi;presenze
2014;AR;051001;Anghiari;Italiani;4377;13825
2014;AR;051001;Anghiari;Stranieri;1050;5649
2014;AR;051002;Arezzo;Italiani;83122;155011
2014;AR;051002;Arezzo;Stranieri;52880;122189
2014;AR;051003;Badia Tedalda;Italiani;655;3069
2014;AR;051003;Badia Tedalda;Stranieri;31;157
2014;AR;051004;Bibbiena;Italiani;3111;7853
2014;AR;051004;Bibbiena;Stranieri;1256;6924
2014;AR;051005;Bucine;Italiani;1367;4749
2014;AR;051005;Bucine;Stranieri;9355;79853
2014;AR;051006;Capolona;Italiani;143;261
2014;AR;051006;Capolona;Stranieri;289;2286
2014;AR;051007;Caprese Michelangelo;Italiani;692;1811
2014;AR;051007;Caprese Michelangelo;Stranieri;580;3007
2014;AR;051008;Castel Focognano;Italiani;10;14
2014;AR;051008;Castel Focognano;Stranieri;232;1926
2014;AR;051010;Castel San Niccol•;Italiani;11;38
2014;AR;051010;Castel San Niccol•;Stranieri;171;1621
2014;AR;051011;Castiglion Fibocchi;Italiani;74;279
2014;AR;051011;Castiglion Fibocchi;Stranieri;448;2660
2014;AR;051012;Castiglion Fiorentino;Italiani;5674;12082
2014;AR;051012;Castiglion Fiorentino;Stranieri;13604;39454
2014;AR;051013;Cavriglia;Italiani;4273;14164
2014;AR;051013;Cavriglia;Stranieri;12918;85164
2014;AR;051014;Chitignano;Italiani;239;1579
2014;AR;051014;Chitignano;Stranieri;22;762
2014;AR;051015;Chiusi della Verna;Italiani;9725;19504
2014;AR;051015;Chiusi della Verna;Stranieri;2822;4975
2014;AR;051016;Civitella in Val di Chiana;Italiani;7190;20195
2014;AR;051016;Civitella in Val di Chiana;Stranieri;2318;12621
2014;AR;051017;Cortona;Italiani;20172;41102
2014;AR;051017;Cortona;Stranieri;27078;115779
2014;AR;051018;Foiano della Chiana;Italiani;2606;13059
2014;AR;051018;Foiano della Chiana;Stranieri;1447;8120
2014;AR;051019;Laterina;Italiani;6255;10789
2014;AR;051019;Laterina;Stranieri;3806;9813
2014;AR;051020;Loro Ciuffenna;Italiani;1059;2565
2014;AR;051020;Loro Ciuffenna;Stranieri;5652;21448
2014;AR;051021;Lucignano;Italiani;1214;2720
2014;AR;051021;Lucignano;Stranieri;1050;13655
2014;AR;051022;Marciano della Chiana;Italiani;78;293
2014;AR;051022;Marciano della Chiana;Stranieri;446;3741
2014;AR;051023;Montemignaio;Italiani;12;696
2014;AR;051023;Montemignaio;Stranieri;50;1908
2014;AR;051024;Monterchi;Italiani;78;210
2014;AR;051024;Monterchi;Stranieri;77;772
2014;AR;051025;Monte San Savino;Italiani;5139;9752
2014;AR;051025;Monte San Savino;Stranieri;3377;13708
2014;AR;051026;Montevarchi;Italiani;8906;17081
2014;AR;051026;Montevarchi;Stranieri;5597;16948
2014;AR;051027;Ortignano Raggiolo;Italiani;24;69
2014;AR;051027;Ortignano Raggiolo;Stranieri;137;2728
2014;AR;051028;Pergine Valdarno;Italiani;1195;3370
2014;AR;051028;Pergine Valdarno;Stranieri;2037;16888
2014;AR;051030;Pieve Santo Stefano;Italiani;6745;18805
