anno;PROVINCIA_CCIAA;COD_PROVINCIA_SEDE_LEGALE;DES_PROVINCIA_SEDE_LEGALE;COD_COMUNE_SEDE_LEGALE;COMUNE;GRUPPO_NATURA_GIURIDICA;ATECO_COD_SEZIONE;ATECO_DES_SEZIONE;NUMERO_IMPRESE;IMPRESE ATTIVE;;
2015;AR;51;AREZZO;51000;Comune non indicato prov.AR;DITTE INDIVIDUALI;A;AGRICOLTURA, SILVICOLTURA E PESCA;1;1;;
2015;AR;51;AREZZO;51001;ANGHIARI;ALTRE FORME;n;Non indicato;2;0;;
2015;AR;51;AREZZO;51001;ANGHIARI;ALTRE FORME;A;AGRICOLTURA, SILVICOLTURA E PESCA;3;3;;
2015;AR;51;AREZZO;51001;ANGHIARI;ALTRE FORME;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";2;0;;
2015;AR;51;AREZZO;51001;ANGHIARI;ALTRE FORME;K;ATTIVITè FINANZIARIE E ASSICURATIVE;1;1;;
2015;AR;51;AREZZO;51001;ANGHIARI;ALTRE FORME;M;ATTIVITè PROFESSIONALI, SCIENTIFICHE E TECNICHE;2;2;;
2015;AR;51;AREZZO;51001;ANGHIARI;ALTRE FORME;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;2;2;;
2015;AR;51;AREZZO;51001;ANGHIARI;ALTRE FORME;P;ISTRUZIONE;1;1;;
2015;AR;51;AREZZO;51001;ANGHIARI;ALTRE FORME;R;ATTIVITè ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;8;8;;
2015;AR;51;AREZZO;51001;ANGHIARI;DITTE INDIVIDUALI;n;Non indicato;1;0;;
2015;AR;51;AREZZO;51001;ANGHIARI;DITTE INDIVIDUALI;A;AGRICOLTURA, SILVICOLTURA E PESCA;268;268;;
2015;AR;51;AREZZO;51001;ANGHIARI;DITTE INDIVIDUALI;C;ATTIVITè MANIFATTURIERE;32;31;;
2015;AR;51;AREZZO;51001;ANGHIARI;DITTE INDIVIDUALI;F;COSTRUZIONI;65;62;;
2015;AR;51;AREZZO;51001;ANGHIARI;DITTE INDIVIDUALI;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";67;66;;
2015;AR;51;AREZZO;51001;ANGHIARI;DITTE INDIVIDUALI;H;TRASPORTO E MAGAZZINAGGIO;6;6;;
2015;AR;51;AREZZO;51001;ANGHIARI;DITTE INDIVIDUALI;I;ATTIVITè DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;18;17;;
2015;AR;51;AREZZO;51001;ANGHIARI;DITTE INDIVIDUALI;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;2;2;;
2015;AR;51;AREZZO;51001;ANGHIARI;DITTE INDIVIDUALI;K;ATTIVITè FINANZIARIE E ASSICURATIVE;5;5;;
2015;AR;51;AREZZO;51001;ANGHIARI;DITTE INDIVIDUALI;L;ATTIVITè IMMOBILIARI;2;2;;
2015;AR;51;AREZZO;51001;ANGHIARI;DITTE INDIVIDUALI;M;ATTIVITè PROFESSIONALI, SCIENTIFICHE E TECNICHE;2;2;;
2015;AR;51;AREZZO;51001;ANGHIARI;DITTE INDIVIDUALI;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;9;9;;
2015;AR;51;AREZZO;51001;ANGHIARI;DITTE INDIVIDUALI;R;ATTIVITè ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;2;2;;
2015;AR;51;AREZZO;51001;ANGHIARI;DITTE INDIVIDUALI;S;ALTRE ATTIVITè DI SERVIZI;20;20;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI CAPITALE;n;Non indicato;10;0;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI CAPITALE;A;AGRICOLTURA, SILVICOLTURA E PESCA;5;3;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI CAPITALE;C;ATTIVITè MANIFATTURIERE;20;17;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI CAPITALE;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;1;1;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI CAPITALE;F;COSTRUZIONI;8;6;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI CAPITALE;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";16;15;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI CAPITALE;H;TRASPORTO E MAGAZZINAGGIO;3;3;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI CAPITALE;I;ATTIVITè DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;16;14;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI CAPITALE;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;3;3;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI CAPITALE;L;ATTIVITè IMMOBILIARI;12;12;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI CAPITALE;M;ATTIVITè PROFESSIONALI, SCIENTIFICHE E TECNICHE;5;5;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI CAPITALE;R;ATTIVITè ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;2;1;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI CAPITALE;S;ALTRE ATTIVITè DI SERVIZI;2;2;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI PERSONE;n;Non indicato;2;0;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI PERSONE;A;AGRICOLTURA, SILVICOLTURA E PESCA;12;12;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI PERSONE;C;ATTIVITè MANIFATTURIERE;19;16;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI PERSONE;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;1;1;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI PERSONE;F;COSTRUZIONI;10;9;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI PERSONE;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";15;14;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI PERSONE;H;TRASPORTO E MAGAZZINAGGIO;2;1;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI PERSONE;I;ATTIVITè DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;15;12;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI PERSONE;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;1;1;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI PERSONE;L;ATTIVITè IMMOBILIARI;5;5;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI PERSONE;M;ATTIVITè PROFESSIONALI, SCIENTIFICHE E TECNICHE;1;1;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI PERSONE;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;2;2;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI PERSONE;R;ATTIVITè ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;2;1;;
2015;AR;51;AREZZO;51001;ANGHIARI;SOCIETè DI PERSONE;S;ALTRE ATTIVITè DI SERVIZI;1;1;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;n;Non indicato;57;1;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;A;AGRICOLTURA, SILVICOLTURA E PESCA;12;11;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;B;ESTRAZIONE DI MINERALI DA CAVE E MINIERE;1;1;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;C;ATTIVITè MANIFATTURIERE;26;24;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;3;2;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;E;"FORNITURA DI ACQUA; RETI FOGNARIE";1;1;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;F;COSTRUZIONI;80;60;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";38;30;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;H;TRASPORTO E MAGAZZINAGGIO;17;11;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;I;ATTIVITè DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;29;25;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;15;14;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;K;ATTIVITè FINANZIARIE E ASSICURATIVE;7;2;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;L;ATTIVITè IMMOBILIARI;16;12;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;M;ATTIVITè PROFESSIONALI, SCIENTIFICHE E TECNICHE;55;43;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;51;43;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;P;ISTRUZIONE;21;18;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;Q;SANITè E ASSISTENZA SOCIALE;25;24;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;R;ATTIVITè ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;32;30;;
2015;AR;51;AREZZO;51002;AREZZO;ALTRE FORME;S;ALTRE ATTIVITè DI SERVIZI;7;4;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;n;Non indicato;119;3;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;A;AGRICOLTURA, SILVICOLTURA E PESCA;702;702;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;C;ATTIVITè MANIFATTURIERE;634;620;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;6;6;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;E;"FORNITURA DI ACQUA; RETI FOGNARIE";5;5;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;F;COSTRUZIONI;887;858;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";1794;1750;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;H;TRASPORTO E MAGAZZINAGGIO;110;105;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;I;ATTIVITè DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;255;246;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;82;80;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;K;ATTIVITè FINANZIARIE E ASSICURATIVE;203;201;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;L;ATTIVITè IMMOBILIARI;68;67;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;M;ATTIVITè PROFESSIONALI, SCIENTIFICHE E TECNICHE;132;129;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;140;138;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;P;ISTRUZIONE;12;12;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;Q;SANITè E ASSISTENZA SOCIALE;9;9;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;R;ATTIVITè ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;68;67;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;S;ALTRE ATTIVITè DI SERVIZI;316;312;;
2015;AR;51;AREZZO;51002;AREZZO;DITTE INDIVIDUALI;U;ORGANIZZAZIONI ED ORGANISMI EXTRATERRITORIALI;1;1;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;n;Non indicato;303;1;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;A;AGRICOLTURA, SILVICOLTURA E PESCA;43;37;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;B;ESTRAZIONE DI MINERALI DA CAVE E MINIERE;5;5;;
2015;AR;51;AREZZO;51002;AREZZO;SOCIETè DI CAPITALE;C;ATTIVITè MANIFATTURIERE;821;587;;
