anno;CCIAA;codice_provincia;provincia;codice_comune;comune;natura_giuridica;sezione;settore_attivita;registrate;attive
2014;AR;051;AREZZO;051000;Comune non indicato prov.AR;DITTE INDIVIDUALI;A;AGRICOLTURA, SILVICOLTURA E PESCA;1;1
2014;AR;051;AREZZO;051001;ANGHIARI;ALTRE FORME;K;ATTIVITÀ FINANZIARIE E ASSICURATIVE;1;1
2014;AR;051;AREZZO;051001;ANGHIARI;ALTRE FORME;R;ATTIVITÀ ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;1;1
2014;AR;051;AREZZO;051001;ANGHIARI;DITTE INDIVIDUALI;n;Non indicato;3;0
2014;AR;051;AREZZO;051001;ANGHIARI;DITTE INDIVIDUALI;A;AGRICOLTURA, SILVICOLTURA E PESCA;278;278
2014;AR;051;AREZZO;051001;ANGHIARI;DITTE INDIVIDUALI;C;ATTIVITÀ MANIFATTURIERE;35;34
2014;AR;051;AREZZO;051001;ANGHIARI;DITTE INDIVIDUALI;F;COSTRUZIONI;62;60
2014;AR;051;AREZZO;051001;ANGHIARI;DITTE INDIVIDUALI;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";68;66
2014;AR;051;AREZZO;051001;ANGHIARI;DITTE INDIVIDUALI;H;TRASPORTO E MAGAZZINAGGIO;6;6
2014;AR;051;AREZZO;051001;ANGHIARI;DITTE INDIVIDUALI;I;ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;18;17
2014;AR;051;AREZZO;051001;ANGHIARI;DITTE INDIVIDUALI;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;2;2
2014;AR;051;AREZZO;051001;ANGHIARI;DITTE INDIVIDUALI;K;ATTIVITÀ FINANZIARIE E ASSICURATIVE;5;5
2014;AR;051;AREZZO;051001;ANGHIARI;DITTE INDIVIDUALI;L;ATTIVITÀ IMMOBILIARI;2;2
2014;AR;051;AREZZO;051001;ANGHIARI;DITTE INDIVIDUALI;M;ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;2;2
2014;AR;051;AREZZO;051001;ANGHIARI;DITTE INDIVIDUALI;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;10;10
2014;AR;051;AREZZO;051001;ANGHIARI;DITTE INDIVIDUALI;R;ATTIVITÀ ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;2;2
2014;AR;051;AREZZO;051001;ANGHIARI;DITTE INDIVIDUALI;S;ALTRE ATTIVITÀ DI SERVIZI;21;21
2014;AR;051;AREZZO;051001;ANGHIARI;NON INDICATA;n;Non indicato;3;0
2014;AR;051;AREZZO;051001;ANGHIARI;NON INDICATA;A;AGRICOLTURA, SILVICOLTURA E PESCA;4;3
2014;AR;051;AREZZO;051001;ANGHIARI;NON INDICATA;C;ATTIVITÀ MANIFATTURIERE;2;2
2014;AR;051;AREZZO;051001;ANGHIARI;NON INDICATA;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";11;9
2014;AR;051;AREZZO;051001;ANGHIARI;NON INDICATA;I;ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;11;9
2014;AR;051;AREZZO;051001;ANGHIARI;NON INDICATA;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;1;1
2014;AR;051;AREZZO;051001;ANGHIARI;NON INDICATA;L;ATTIVITÀ IMMOBILIARI;1;1
2014;AR;051;AREZZO;051001;ANGHIARI;NON INDICATA;M;ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;2;2
2014;AR;051;AREZZO;051001;ANGHIARI;NON INDICATA;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;1;1
2014;AR;051;AREZZO;051001;ANGHIARI;NON INDICATA;P;ISTRUZIONE;1;1
2014;AR;051;AREZZO;051001;ANGHIARI;NON INDICATA;R;ATTIVITÀ ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;7;7
2014;AR;051;AREZZO;051001;ANGHIARI;NON INDICATA;S;ALTRE ATTIVITÀ DI SERVIZI;1;1
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI CAPITALE;n;Non indicato;6;0
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI CAPITALE;A;AGRICOLTURA, SILVICOLTURA E PESCA;2;2
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI CAPITALE;C;ATTIVITÀ MANIFATTURIERE;19;15
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI CAPITALE;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;1;1
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI CAPITALE;F;COSTRUZIONI;8;6
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI CAPITALE;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";7;6
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI CAPITALE;H;TRASPORTO E MAGAZZINAGGIO;3;3
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI CAPITALE;I;ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;4;4
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI CAPITALE;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;2;2
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI CAPITALE;L;ATTIVITÀ IMMOBILIARI;12;12
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI CAPITALE;M;ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;5;5
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI CAPITALE;R;ATTIVITÀ ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;1;0
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI CAPITALE;S;ALTRE ATTIVITÀ DI SERVIZI;1;1
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI PERSONE;n;Non indicato;2;0
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI PERSONE;A;AGRICOLTURA, SILVICOLTURA E PESCA;13;13
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI PERSONE;C;ATTIVITÀ MANIFATTURIERE;18;15
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI PERSONE;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;1;1
2014;AR;051;AREZZO;051001;ANGHIARI;SOCIETÀ DI PERSONE;F;COSTRUZIONI;10;9
